n' ɳ
K ɬ
tl_> tl'
tl_h tlʰ
d d
E Ɛ
a a
gh\ gɦ
j j
tj_h tjʰ
u u
d_0Z ʤ
k k
g g
pj_h pjʰ
dz`h\ dʐɦ
dZh\ ʤh
J ɲ
n_h nɦ
tj tj
bj bj
v v
B β
s s
S ʃ
k_h kʰ
pj_> pj'
tS_> tsʼ
tS_h tsʰ
b b
z z
dz` dʐ
b_< ɓ
w w
r r
t_h tʰ
rh\ rɦ
m_h mɦ
s` ʂ
p_h pʰ
f f
i i
dh\ dɦ
h\ ɦ
O ɔ
n n
N ŋ
dK\ dɮ
dK dɬ
!\ !
m m
dj dj
l l
p p
t_> t'
