Romanized phone	Globalphone	Bootphon
b	M_b	b
ch	M_tS	c+y
d	M_d	d
f	M_f	F
g	M_g	g
h	M_h	h
j	M_dZ	z+y
k	M_k	k
m	M_m	m
n	M_n	n
N	M_nq	N
p	M_p	p
r	M_l	r
s	M_s	s
sh	M_S	s+y
t	M_t	t
ts	M_ts	c
w	M_w	w
z	M_z	z
a	M_ab	a
e	M_e	e
i	M_i	i
o	M_o	o
u	M_W	u
y	M_j	y
aa	M_abl	a+H
ee	M_el	e+H
ei	M_el	e+H
ii	M_il	i+H
oo	M_ol	o+H
ou	M_ol	o+H
uu	M_Wl	u+H
wo	M_o	o
v	M_W	u
vu	M_Wl	u+H
?	M_Q	Q
